time,id,x,y,0,1,2,3,4,5,6,7,8
2,35,385292.0,6671842.0,-30.06,-37.94,-21.97,-8.97,-38.41,-32.35,-19.08,19.6,-9.58
2,36,385919.0,6671649.0,-25.61,-23.87,-7.53,-26.23,18.01,-15.46,-9.1,-15.07,-22.0
2,37,385576.0,6671704.0,-29.73,-12.69,-2.29,-10.15,7.17,0.5,-14.37,-6.37,-1.75
2,38,385396.0,6671711.0,-40.55,-15.15,-20.39,-11.77,-18.0,-10.55,-20.52,2.48,10.51
2,39,385734.0,6671811.0,-25.13,-10.72,-4.62,-24.19,-0.42,10.16,-28.68,-8.52,-5.08
2,4,385540.0,6671137.0,-70.48,-39.66,-12.29,14.08,-26.1,-35.85,-7.95,-9.87,-2.53
2,40,385648.0,6671298.0,-68.9,-51.66,-37.89,-16.54,-23.28,-47.12,-25.93,29.24,-37.19
2,41,385874.0,6671743.0,-29.42,-14.37,-7.97,-26.59,9.77,3.42,-25.44,-23.89,-23.83
2,42,385259.0,6671965.0,-10.02,-19.92,-18.87,-14.11,-18.54,-16.15,-12.4,0.04,12.15
2,43,386205.0,6671626.0,-45.91,4.32,-11.78,-10.68,-13.03,8.49,-21.98,-19.51,-32.95
2,44,386217.0,6671791.0,-44.26,-12.83,-28.59,-37.31,-26.42,26.47,-46.55,-39.8,-42.54
2,45,385842.0,6671577.0,-48.81,-33.49,-7.18,-27.57,20.64,-22.63,-19.2,-26.0,-29.92
2,46,385653.0,6671291.0,-86.42,-70.0,-44.27,-21.95,-41.11,-64.98,-35.96,35.69,-46.78
2,47,385612.0,6671731.0,-27.93,-13.06,-4.52,-10.98,4.59,4.05,-13.05,-5.24,-1.03
2,48,385813.0,6671566.0,-36.98,-21.67,-7.6,-27.06,13.5,-10.9,-2.62,-8.97,-14.24
2,49,385966.0,6671381.0,-44.89,-29.97,11.44,-6.77,1.51,-27.42,-20.7,-20.82,-33.03
