,time,vehicle,x,y,east,north,coor,sinr,site
266,6,37,1286.33,1115.71,385534,6671681,3855346671681,15.4255,8
267,6,38,1261.66,1309.83,385509,6671875,3855096671875,24.5977,7
268,6,39,1180.45,876.0,385428,6671441,3854286671441,6.6470,1
269,6,4,1981.59,847.74,386229,6671413,3862296671413,18.8695,12
270,6,40,1981.91,818.7,386229,6671384,3862296671384,12.6459,12
271,6,42,1982.49,800.93,386230,6671366,3862306671366,16.0703,12
272,6,43,1135.07,846.38,385383,6671411,3853836671411,5.8633,1
273,6,45,1437.27,666.41,385685,6671231,3856856671231,37.3948,9
274,6,47,1834.65,908.56,386082,6671473,3860826671473,9.1485,12
275,6,48,1155.85,1409.41,385403,6671974,3854036671974,31.4755,5
276,6,49,1073.8,923.42,385321,6671488,3853216671488,15.8007,1
277,6,5,1197.8,1432.4,385445,6671997,3854456671997,20.5106,5
278,6,6,1561.46,1285.65,385809,6671850,3858096671850,12.8868,8
279,6,7,1795.12,809.76,386043,6671375,3860436671375,25.0243,6
280,6,8,1775.46,812.17,386023,6671377,3860236671377,24.6282,6
281,6,9,1949.57,966.05,386197,6671531,3861976671531,36.3671,12
282,7,0,1916.38,1529.69,386164,6672095,3861646672095,6.6598,4
283,7,1,1383.87,1516.14,385631,6672081,3856316672081,8.3655,10
284,7,10,1349.99,1556.91,385598,6672122,3855986672122,10.3221,5
285,7,11,1058.35,1176.89,385306,6671742,3853066671742,5.0054,7
286,7,12,1711.7,1296.49,385959,6671861,3859596671861,24.2594,3
287,7,13,1583.88,1292.07,385831,6671857,3858316671857,1.9333,8
288,7,14,1771.77,819.32,386019,6671384,3860196671384,20.8251,6
289,7,15,1977.59,894.67,386225,6671460,3862256671460,24.7210,12
290,7,16,1772.52,898.72,386020,6671464,3860206671464,5.1513,12
291,7,17,1793.28,1110.86,386041,6671676,3860416671676,11.9864,3
292,7,18,1553.41,782.62,385801,6671347,3858016671347,9.5983,6
293,7,19,1093.7,1331.16,385341,6671896,3853416671896,7.6569,7
294,7,2,1970.48,965.93,386218,6671531,3862186671531,22.8924,12
295,7,20,1910.26,965.88,386158,6671531,3861586671531,34.0882,12
296,7,21,1886.6,565.45,386134,6671130,3861346671130,7.8941,4
297,7,22,1786.13,1113.81,386034,6671679,3860346671679,8.2752,3
298,7,23,1029.22,992.19,385277,6671557,3852776671557,20.8931,1
299,7,24,1415.73,1284.42,385663,6671849,3856636671849,5.3813,7
300,7,25,1055.23,1307.37,385303,6671872,3853036671872,12.2964,5
301,7,26,1903.26,1232.85,386151,6671798,3861516671798,18.2570,3
302,7,27,1245.98,654.86,385494,6671220,3854946671220,8.8423,11
303,7,28,1208.54,1448.19,385456,6672013,3854566672013,15.8081,5
304,7,29,1780.17,659.15,386028,6671224,3860286671224,22.1114,6
305,7,3,1865.74,1195.57,386113,6671760,3861136671760,9.5443,3
306,7,30,1275.06,610.41,385523,6671175,3855236671175,6.8712,9
307,7,31,1554.73,1270.72,385802,6671836,3858026671836,2.9882,3
308,7,32,1277.07,812.01,385525,6671377,3855256671377,12.3619,2
309,7,33,1873.5,1235.6,386121,6671800,3861216671800,11.2964,3
310,7,34,1284.89,948.05,385532,6671513,3855326671513,3.2237,8
311,7,35,1117.66,855.98,385365,6671421,3853656671421,8.1897,1
312,7,36,1641.4,1298.54,385889,6671863,3858896671863,11.6487,3
313,7,37,1278.72,1110.74,385526,6671676,3855266671676,14.6838,8
314,7,38,1268.7,1314.92,385516,6671880,3855166671880,22.9271,7
315,7,39,1186.15,879.73,385434,6671445,3854346671445,6.1403,1
316,7,4,1981.44,855.99,386229,6671421,3862296671421,19.5671,12
317,7,40,1981.85,826.67,386229,6671392,3862296671392,10.4208,12
318,7,42,1982.23,808.74,386230,6671374,3862306671374,14.6750,12
319,7,43,1141.89,850.79,385389,6671416,3853896671416,6.5045,1
320,7,45,1440.56,669.01,385688,6671234,3856886671234,38.4092,9
321,7,47,1826.16,908.29,386074,6671473,3860746671473,9.0214,12
322,7,48,1152.76,1404.51,385400,6671969,3854006671969,30.8197,5
323,7,49,1078.08,916.77,385326,6671482,3853266671482,16.4624,1
324,7,5,1203.38,1436.26,385451,6672001,3854516672001,19.1407,5
325,7,6,1560.75,1284.84,385808,6671850,3858086671850,12.8729,8
326,7,7,1793.07,810.38,386041,6671375,3860416671375,24.8802,6
327,7,8,1775.03,817.17,386023,6671382,3860236671382,25.2438,6
328,7,9,1943.59,966.13,386191,6671531,3861916671531,35.1693,12
329,8,0,1924.7,1529.88,386172,6672095,3861726672095,6.3520,4
330,8,1,1387.87,1510.42,385635,6672075,3856356672075,9.3281,10
331,8,10,1349.99,1556.91,385598,6672122,3855986672122,10.3221,5
332,8,11,1065.44,1181.64,385313,6671746,3853136671746,5.7640,7
333,8,12,1703.72,1296.38,385951,6671861,3859516671861,23.8306,3
334,8,13,1575.19,1290.3,385823,6671855,3858236671855,7.9784,8
335,8,14,1771.78,818.96,386019,6671384,3860196671384,20.8251,6
336,8,15,1977.65,889.79,386225,6671455,3862256671455,24.0514,12
337,8,16,1770.37,904.25,386018,6671469,3860186671469,4.9882,12
338,8,17,1796.02,1112.4,386044,6671677,3860446671677,11.9168,3
339,8,18,1555.9,778.8,385803,6671344,3858036671344,10.2870,6
340,8,19,1098.76,1334.95,385346,6671900,3853466671900,6.5969,7
341,8,2,1963.33,965.93,386211,6671531,3862116671531,25.0732,12
342,8,20,1902.38,965.76,386150,6671531,3861506671531,33.2554,12
343,8,21,1886.43,572.81,386134,6671138,3861346671138,7.8384,4
344,8,22,1778.59,1113.54,386026,6671678,3860266671678,8.6717,3
345,8,23,1033.16,986.19,385281,6671551,3852816671551,21.9629,1
346,8,24,1418.93,1279.4,385666,6671844,3856666671844,4.5199,7
347,8,25,1060.38,1310.61,385308,6671875,3853086671875,12.2905,5
348,8,26,1909.98,1232.96,386158,6671798,3861586671798,15.8303,3
349,8,27,1249.78,648.96,385497,6671214,3854976671214,8.1360,11
350,8,28,1201.19,1443.0,385449,6672008,3854496672008,18.8591,5
351,8,29,1780.02,664.49,386028,6671229,3860286671229,16.6405,6
352,8,3,1865.98,1186.98,386114,6671752,3861146671752,12.0351,3
353,8,30,1280.39,602.37,385528,6671167,3855286671167,5.6629,9
354,8,31,1554.78,1270.64,385802,6671835,3858026671835,3.1510,3
355,8,32,1283.59,816.26,385531,6671381,3855316671381,12.9371,2
356,8,33,1882.31,1235.72,386130,6671801,3861306671801,16.1198,3
357,8,34,1278.97,944.14,385527,6671509,3855276671509,2.8246,8
